ensembl_gene_id	Gene.Symbol.x	glia.brain_logFC.x	P.Value	Gene.Symbol.y	glia.brain_logFC.y
ENSG00000164733	CTSB	2.877824635	1.26e-27	CTSB	2.88
ENSG00000165025	SYK	5.683719421	4.75e-40	SYK	5.68
ENSG00000165071	TMEM71	4.58106278	2.94e-18	TMEM71	4.58
ENSG00000165078	CPA6	5.122613451	1.61e-15	CPA6	5.12
ENSG00000165119	HNRNPK	0.128044458	0.032145331	HNRNPK	0.13
ENSG00000165140	FBP1	4.361456758	6.48e-24	FBP1	4.36
ENSG00000165168	CYBB	5.442956625	1.19e-31	CYBB	5.44
ENSG00000165178	NCF1C	5.521018456	5.19e-29	NCF1C	5.52
ENSG00000165280	VCP	-0.145379923	0.02460403	VCP	-0.15
ENSG00000165312	OTUD1	2.67582204	3.51e-20	OTUD1	2.68
ENSG00000165322	ARHGAP12	1.652128307	2.56e-30	ARHGAP12	1.65
ENSG00000165457	FOLR2	5.268078982	6.74e-18	FOLR2	5.27
ENSG00000165458	INPPL1	2.993248377	8.27e-35	INPPL1	2.99
ENSG00000165494	PCF11	1.582538595	3.23e-26	PCF11	1.58
ENSG00000165502	RPL36AL	0.047597407	0.663567317	RPL36AL	0.05
ENSG00000165685	TMEM52B	3.932305213	1.33e-18	TMEM52B	3.93
ENSG00000165801	ARHGEF40	3.282766158	3.22e-33	ARHGEF40	3.28
ENSG00000165983	PTER	3.370196505	8.77e-19	PTER	3.37
ENSG00000166033	HTRA1	1.319264045	1.33e-12	HTRA1	1.32
ENSG00000166068	SPRED1	0.391576159	1.04e-05	SPRED1	0.39
ENSG00000166130	IKBIP	3.824868642	7.73e-28	IKBIP	3.82
ENSG00000166145	SPINT1	5.196399656	3.13e-25	SPINT1	5.2
ENSG00000166278	C2	4.217520442	6.17e-18	C2	4.22
ENSG00000166340	TPP1	1.057481717	1.46e-12	TPP1	1.06
ENSG00000166428	PLD4	5.536171829	5.96e-27	PLD4	5.54
ENSG00000166598	HSP90B1	1.13825744	2.09e-10	HSP90B1	1.14
ENSG00000166710	B2M	2.557875991	1.73e-22	B2M	2.56
ENSG00000166794	PPIB	1.529056565	9.31e-17	PPIB	1.53
ENSG00000166801	FAM111A	3.841255752	2.15e-28	FAM111A	3.84
ENSG00000166888	STAT6	3.120674761	4.29e-38	STAT6	3.12
ENSG00000166913	YWHAB	-1.696013589	5.07e-29	YWHAB	-1.7
ENSG00000166926	MS4A6E	3.854109712	8.84e-22	MS4A6E	3.85
ENSG00000166927	MS4A7	5.656960034	4.35e-25	MS4A7	5.66
ENSG00000166928	MS4A14	6.700013089	2.15e-22	MS4A14	6.7
ENSG00000167004	PDIA3	1.432969878	2.34e-15	PDIA3	1.43
ENSG00000167083	GNGT2	3.811054682	3.27e-22	GNGT2	3.81
ENSG00000167207	NOD2	4.595224198	1.62e-13	NOD2	4.6
ENSG00000167208	SNX20	5.634591865	1.58e-22	SNX20	5.63
ENSG00000167261	DPEP2	5.209636822	1.4e-21	DPEP2	5.21
ENSG00000167280	ENGASE	3.032604848	9.87e-24	ENGASE	3.03
ENSG00000167468	GPX4	-0.677311543	1.35e-11	GPX4	-0.68
ENSG00000167526	RPL13	0.572164981	1.2e-06	RPL13	0.57
ENSG00000167548	KMT2D	1.691310019	1.88e-26	KMT2D	1.69
ENSG00000167600	CYP2S1	4.758913752	5.8e-24	CYP2S1	4.76
ENSG00000167601	AXL	3.008504385	2.8e-28	AXL	3.01
ENSG00000167604	NFKBID	4.606836068	8.43e-18	NFKBID	4.61
ENSG00000167613	LAIR1	6.082709919	8.11e-33	LAIR1	6.08
ENSG00000167615	LENG8	2.719491488	8.46e-33	LENG8	2.72
ENSG00000167618	LAIR2	5.622281696	2.67e-27	LAIR2	5.62
ENSG00000167658	EEF2	-0.739856291	1.24e-09	EEF2	-0.74
ENSG00000167664	TMIGD2	5.229147725	3.97e-25	TMIGD2	5.23
ENSG00000167850	CD300C	5.376998644	1.67e-28	CD300C	5.38
ENSG00000167851	CD300A	6.380307596	7.46e-28	CD300A	6.38
ENSG00000167895	TMC8	6.190413562	4.2e-37	TMC8	6.19
ENSG00000167978	SRRM2	2.116705107	2.4e-26	SRRM2	2.12
ENSG00000167994	RAB3IL1	4.380370786	1.09e-23	RAB3IL1	4.38
ENSG00000167996	FTH1	-0.405175666	0.003391444	FTH1	-0.41
ENSG00000168010	ATG16L2	3.612784048	7.6e-32	ATG16L2	3.61
ENSG00000168028	RPSA	-0.048715825	0.664511781	RPSA	-0.05
ENSG00000168036	CTNNB1	-0.61697525	5.35e-13	CTNNB1	-0.62
ENSG00000168066	SF1	1.293084637	1.99e-22	SF1	1.29
ENSG00000168071	CCDC88B	5.373502235	1.93e-38	CCDC88B	5.37
ENSG00000168209	DDIT4	2.326548719	7.97e-09	DDIT4	2.33
ENSG00000168216	LMBRD1	-0.161224695	0.037350136	LMBRD1	-0.16
ENSG00000168264	IRF2BP2	0.551826372	1.75e-07	IRF2BP2	0.55
ENSG00000168298	HIST1H1E	0.183643138	0.242427804	HIST1H1E	0.18
ENSG00000168329	CX3CR1	5.539318351	4.07e-27	CX3CR1	5.54
ENSG00000168334	XIRP1	6.424782578	1.16e-16	XIRP1	6.42
ENSG00000168385	SEPT2	-0.102393294	0.292722305	SEPT2	-0.1
ENSG00000168404	MLKL	5.278645691	3.69e-24	MLKL	5.28
ENSG00000168421	RHOH	5.924816747	3.59e-22	RHOH	5.92
ENSG00000168461	RAB31	0.502171383	8.55e-05	RAB31	0.5
ENSG00000168476	REEP4	4.764282344	1.02e-35	REEP4	4.76
ENSG00000168488	ATXN2L	1.267342283	7.31e-25	ATXN2L	1.27
ENSG00000168610	STAT3	1.486350953	2.33e-22	STAT3	1.49
ENSG00000168615	ADAM9	1.535292922	1.7e-24	ADAM9	1.54
ENSG00000168653	NDUFS5	-1.757980829	9.27e-28	NDUFS5	-1.76
ENSG00000168906	MAT2A	1.031451623	2.84e-13	MAT2A	1.03
ENSG00000168918	INPP5D	5.920663775	8.51e-41	INPP5D	5.92
ENSG00000168961	LGALS9	5.480827287	6.1e-36	LGALS9	5.48
ENSG00000168995	SIGLEC7	6.304509784	3.52e-22	SIGLEC7	6.3
ENSG00000169045	HNRNPH1	1.942166294	8.32e-31	HNRNPH1	1.94
ENSG00000169100	SLC25A6	-0.391717286	0.00051259	SLC25A6	-0.39
ENSG00000169223	LMAN2	1.289578013	3.25e-20	LMAN2	1.29
ENSG00000169252	ADRB2	5.136151335	6.81e-28	ADRB2	5.14
ENSG00000169313	P2RY12	4.919336703	9.66e-28	P2RY12	4.92
ENSG00000169385	RNASE2	4.935735284	1.29e-16	RNASE2	4.94
ENSG00000169397	RNASE3	4.628716847	2.49e-19	RNASE3	4.63
ENSG00000169403	PTAFR	5.839763138	3.39e-32	PTAFR	5.84
ENSG00000169413	RNASE6	5.10170178	3.24e-22	RNASE6	5.1
ENSG00000169508	GPR183	5.311180627	1.67e-19	GPR183	5.31
ENSG00000169554	ZEB2	0.492858224	3.23e-05	ZEB2	0.49
ENSG00000169564	PCBP1	0.405350467	2.05e-07	PCBP1	0.41
ENSG00000169714	CNBP	-0.247912871	0.000245398	CNBP	-0.25
ENSG00000169813	HNRNPF	1.805206507	2.49e-25	HNRNPF	1.81
ENSG00000169896	ITGAM	6.335400184	2.16e-40	ITGAM	6.34
ENSG00000170006	TMEM154	4.1648112	1.76e-17	TMEM154	4.16
ENSG00000170027	YWHAG	-3.280403872	5.46e-49	YWHAG	-3.28
ENSG00000170144	HNRNPA3	0.294526722	6.46e-05	HNRNPA3	0.29
ENSG00000170190	SLC16A5	5.507883699	2.26e-33	SLC16A5	5.51
ENSG00000170296	GABARAP	0.367608993	2.46e-05	GABARAP	0.37
ENSG00000170315	UBB	-1.620800947	4.01e-24	UBB	-1.62
ENSG00000170345	FOS	3.837915928	8.83e-17	FOS	3.84
ENSG00000170348	TMED10	0.211127933	0.026870319	TMED10	0.21
ENSG00000170458	CD14	5.315887839	4.55e-20	CD14	5.32
ENSG00000170525	PFKFB3	3.184542674	3.64e-26	PFKFB3	3.18
ENSG00000170540	ARL6IP1	-2.182961325	2.87e-33	ARL6IP1	-2.18
ENSG00000170542	SERPINB9	3.734299549	4.46e-32	SERPINB9	3.73
ENSG00000170581	STAT2	1.222533954	4.99e-20	STAT2	1.22
ENSG00000170638	TRABD	3.377091522	8.72e-29	TRABD	3.38
ENSG00000170677	SOCS6	3.19677491	6.71e-23	SOCS6	3.2
ENSG00000170759	KIF5B	-0.569407523	4.89e-09	KIF5B	-0.57
ENSG00000170776	AKAP13	2.952355527	1.68e-38	AKAP13	2.95
ENSG00000170889	RPS9	0.488667952	0.000299298	RPS9	0.49
ENSG00000170891	CYTL1	5.099978332	4.05e-27	CYTL1	5.1
ENSG00000170909	OSCAR	4.621065512	2.33e-25	OSCAR	4.62
ENSG00000171049	FPR2	4.734533328	1.46e-13	FPR2	4.73
ENSG00000171051	FPR1	5.98187798	8.32e-16	FPR1	5.98
ENSG00000171115	GIMAP8	4.469287746	1.6e-27	GIMAP8	4.47
ENSG00000171206	TRIM8	0.517626607	6.57e-09	TRIM8	0.52
ENSG00000171223	JUNB	2.340252504	7.41e-16	JUNB	2.34
ENSG00000171236	LRG1	3.351639352	1.12e-09	LRG1	3.35
ENSG00000171298	GAA	2.957882215	2.93e-30	GAA	2.96
ENSG00000171310	CHST11	2.956668118	6.64e-27	CHST11	2.96
ENSG00000171428	NAT1	3.57050556	4.6e-17	NAT1	3.57
ENSG00000171522	PTGER4	5.208973383	5.23e-17	PTGER4	5.21
ENSG00000171603	CLSTN1	-2.721583614	1.22e-34	CLSTN1	-2.72
ENSG00000171608	PIK3CD	3.492297543	3.1e-36	PIK3CD	3.49
ENSG00000171611	PTCRA	4.024156498	1.39e-12	PTCRA	4.02
ENSG00000171631	P2RY6	4.622916269	9.11e-22	P2RY6	4.62
ENSG00000171643	S100Z	6.123384834	4.96e-27	S100Z	6.12
ENSG00000171659	GPR34	5.28718495	5.82e-30	GPR34	5.29
ENSG00000171700	RGS19	4.547984425	7.55e-35	RGS19	4.55
ENSG00000171766	GATM	0.231484087	0.100921144	GATM	0.23
ENSG00000171777	RASGRP4	6.164372301	8.35e-33	RASGRP4	6.16
ENSG00000171812	COL8A2	5.504291792	1.4e-26	COL8A2	5.5
ENSG00000171858	RPS21	-0.886599129	1.87e-09	RPS21	-0.89
ENSG00000171860	C3AR1	5.512622851	2.13e-32	C3AR1	5.51
ENSG00000171867	PRNP	-2.686039068	6.9e-37	PRNP	-2.69
ENSG00000171914	TLN2	0.963744306	1.89e-13	TLN2	0.96
ENSG00000171940	ZNF217	4.21395517	4.17e-35	ZNF217	4.21
ENSG00000171943	SRGAP2C	3.376074791	1.13e-38	SRGAP2C	3.38
ENSG00000171988	JMJD1C	0.888181916	3.99e-21	JMJD1C	0.89
ENSG00000172123	SLFN12	4.249645533	1.05e-25	SLFN12	4.25
ENSG00000172216	CEBPB	4.278231608	5.36e-26	CEBPB	4.28
ENSG00000172243	CLEC7A	5.948431793	1.12e-30	CLEC7A	5.95
ENSG00000172296	SPTLC3	4.656830809	1.46e-21	SPTLC3	4.66
ENSG00000172349	IL16	5.343584282	3.3e-37	IL16	5.34
ENSG00000172578	KLHL6	6.319580633	1.22e-25	KLHL6	6.32
ENSG00000172716	SLFN11	4.147135161	3.32e-31	SLFN11	4.15
ENSG00000172757	CFL1	-0.672697793	3.49e-09	CFL1	-0.67
ENSG00000172809	RPL38	0.009652986	0.926628617	RPL38	0.01
ENSG00000172936	MYD88	4.287766148	8.86e-27	MYD88	4.29
ENSG00000172985	SH3RF3	2.871408236	2.29e-31	SH3RF3	2.87
ENSG00000173020	GRK2	1.64536167	3.43e-27	GRK2	1.65
ENSG00000173068	BNC2	5.12811883	2.34e-31	BNC2	5.13
ENSG00000173083	HPSE	4.418947559	6.49e-23	HPSE	4.42
ENSG00000173110	HSPA6	6.416117557	2.88e-14	HSPA6	6.42
ENSG00000173120	KDM2A	1.592524975	1.19e-30	KDM2A	1.59
ENSG00000173193	PARP14	3.948354541	1.75e-31	PARP14	3.95
ENSG00000173198	CYSLTR1	4.745379206	5.56e-24	CYSLTR1	4.75
ENSG00000173200	PARP15	5.602894849	1.96e-21	PARP15	5.6
ENSG00000173209	AHSA2	2.481591343	7.05e-28	AHSA2	2.48
ENSG00000173230	GOLGB1	0.340014978	0.000553158	GOLGB1	0.34
ENSG00000173281	PPP1R3B	3.561475878	4.25e-22	PPP1R3B	3.56
ENSG00000173334	TRIB1	3.3968955	2.66e-27	TRIB1	3.4
ENSG00000173369	C1QB	5.243355722	4.63e-21	C1QB	5.24
ENSG00000173372	C1QA	4.546607004	9.56e-19	C1QA	4.55
ENSG00000173391	OLR1	5.110775818	9.17e-24	OLR1	5.11
ENSG00000173442	EHBP1L1	4.852819225	4.71e-42	EHBP1L1	4.85
ENSG00000173530	TNFRSF10D	5.14416637	9.7e-26	TNFRSF10D	5.14
ENSG00000173535	TNFRSF10C	5.190211635	7.46e-20	TNFRSF10C	5.19
ENSG00000173559	NABP1	4.619208926	3.91e-32	NABP1	4.62
ENSG00000173575	CHD2	0.913993315	5.72e-18	CHD2	0.91
ENSG00000173762	CD7	3.534014439	1.32e-15	CD7	3.53
ENSG00000173812	EIF1	-0.636183842	1.51e-09	EIF1	-0.64
ENSG00000173821	RNF213	3.417856602	4.89e-32	RNF213	3.42
ENSG00000173846	PLK3	4.793176677	5.94e-29	PLK3	4.79
ENSG00000173890	GPR160	4.083596133	4.72e-21	GPR160	4.08
ENSG00000174004	NRROS	5.371245473	5.12e-35	NRROS	5.37
ENSG00000174123	TLR10	5.400303282	2.15e-25	TLR10	5.4
ENSG00000174125	TLR1	5.2728179	7.96e-37	TLR1	5.27
ENSG00000174130	TLR6	5.438844022	5.49e-38	TLR6	5.44
ENSG00000174231	PRPF8	0.264439743	0.000206386	PRPF8	0.26
ENSG00000174370	C11orf45	3.330786328	1.09e-20	C11orf45	3.33
ENSG00000174444	RPL4	-0.012440026	0.907246292	RPL4	-0.01
ENSG00000174500	GCSAM	3.891589162	2.82e-19	GCSAM	3.89
ENSG00000174600	CMKLR1	5.49757404	3.07e-31	CMKLR1	5.5
ENSG00000174718	KIAA1551	1.892241024	2.55e-31	KIAA1551	1.89
ENSG00000174748	RPL15	-1.165996728	5.62e-19	RPL15	-1.17
ENSG00000174837	ADGRE1	4.921672343	2.71e-13	ADGRE1	4.92
ENSG00000174885	NLRP6	5.070745582	1.05e-13	NLRP6	5.07
ENSG00000175197	DDIT3	0.75563399	9.72e-06	DDIT3	0.76
ENSG00000175215	CTDSP2	1.100326659	9.13e-15	CTDSP2	1.1
ENSG00000175265	GOLGA8A	0.368585805	0.023593882	GOLGA8A	0.37
ENSG00000175463	TBC1D10C	4.46393714	1.33e-18	TBC1D10C	4.46
ENSG00000175489	LRRC25	5.962656294	3.23e-25	LRRC25	5.96
ENSG00000175538	KCNE3	4.169440015	4.47e-34	KCNE3	4.17
ENSG00000175544	CABP4	4.90539128	1.31e-24	CABP4	4.91
ENSG00000175567	UCP2	5.0498387	3.48e-25	UCP2	5.05
ENSG00000175592	FOSL1	4.201776042	1.75e-17	FOSL1	4.2
ENSG00000175857	GAPT	5.367259865	1.45e-17	GAPT	5.37
ENSG00000175899	A2M	3.877840394	2.55e-31	A2M	3.88
ENSG00000176225	RTTN	2.874512598	1.52e-17	RTTN	2.87
ENSG00000176532	PRR15	3.362526871	6.7e-13	PRR15	3.36
ENSG00000176597	B3GNT5	5.718097266	1.24e-28	B3GNT5	5.72
ENSG00000177200	CHD9	0.6482076	1.91e-11	CHD9	0.65
ENSG00000177369	FLJ40194	3.715226491	1.36e-15	FLJ40194	3.72
ENSG00000177409	SAMD9L	4.064315732	6.08e-25	SAMD9L	4.06
ENSG00000177455	CD19	3.336908063	1.84e-17	CD19	3.34
ENSG00000177575	CD163	4.374517578	1.07e-07	CD163	4.37
ENSG00000177600	RPLP2	1.281457947	9.95e-16	RPLP2	1.28
ENSG00000177606	JUN	2.145399832	1.09e-14	JUN	2.15
ENSG00000177663	IL17RA	4.653496076	3.83e-33	IL17RA	4.65
ENSG00000177731	FLII	1.876072307	1.14e-28	FLII	1.88
ENSG00000177757	FAM87B	3.655129223	7.68e-15	FAM87B	3.66
ENSG00000177885	GRB2	0.672213208	1.01e-10	GRB2	0.67
ENSG00000177954	RPS27	0.898146459	1.59e-10	RPS27	0.9
ENSG00000177989	ODF3B	4.743644525	7.89e-18	ODF3B	4.74
ENSG00000178199	ZC3H12D	4.211003264	1.49e-27	ZC3H12D	4.21
ENSG00000178209	PLEC	1.148964098	1.94e-10	PLEC	1.15
ENSG00000178573	MAF	4.032112916	6.52e-32	MAF	4.03
ENSG00000178695	KCTD12	3.48265255	1.48e-32	KCTD12	3.48
ENSG00000178719	GRINA	-0.667847927	3.23e-09	GRINA	-0.67
ENSG00000178789	CD300LB	4.699956597	1.56e-21	CD300LB	4.7
ENSG00000178852	EFCAB13	3.942417845	1.9e-28	EFCAB13	3.94
ENSG00000178913	TAF7	-0.067056405	0.455984363	TAF7	-0.07
ENSG00000178927	C17orf62	3.222928253	4.86e-35	C17orf62	3.22
ENSG00000178996	SNX18	2.53587456	2.56e-29	SNX18	2.54
ENSG00000179051	RCC2	1.775076177	2.94e-27	RCC2	1.78
ENSG00000179218	CALR	1.792203972	5.62e-15	CALR	1.79
ENSG00000179344	HLA-DQB1	4.102826664	0.000398141	HLA-DQB1	4.1
ENSG00000179428	AC073072.5	4.141071343	3.28e-18	AC073072.5	4.14
ENSG00000179583	CIITA	6.637845095	4.56e-33	CIITA	6.64
ENSG00000179715	PCED1B	4.059332528	1.76e-28	PCED1B	4.06
ENSG00000179840	PIK3CD-AS1	3.843755879	1.23e-22	PIK3CD-AS1	3.84
ENSG00000179855	GIPC3	4.442061486	3.1e-19	GIPC3	4.44
ENSG00000180061	TMEM150B	4.987695439	6.21e-19	TMEM150B	4.99
ENSG00000180233	ZNRF2	2.220793503	1.02e-27	ZNRF2	2.22
ENSG00000180340	FZD2	4.130044875	1.13e-22	FZD2	4.13
ENSG00000180353	HCLS1	5.845439743	1.64e-27	HCLS1	5.85
ENSG00000180448	ARHGAP45	6.153234712	1.03e-35	ARHGAP45	6.15
ENSG00000180530	NRIP1	1.125794003	1.37e-16	NRIP1	1.13
ENSG00000180573	HIST1H2AC	2.121843381	7.55e-16	HIST1H2AC	2.12
ENSG00000180596	HIST1H2BC	1.998303548	7.39e-13	HIST1H2BC	2
ENSG00000180871	CXCR2	4.588476097	2.07e-11	CXCR2	4.59
ENSG00000181163	NPM1	0.171948031	0.051446943	NPM1	0.17
ENSG00000181284	TMEM102	4.551647442	1.84e-22	TMEM102	4.55
ENSG00000181381	DDX60L	4.28695133	4.24e-32	DDX60L	4.29
ENSG00000181444	ZNF467	3.680180651	1.46e-26	ZNF467	3.68
ENSG00000181481	RNF135	4.393274431	2.73e-31	RNF135	4.39
ENSG00000181555	SETD2	0.769823235	4.94e-20	SETD2	0.77
ENSG00000181631	P2RY13	5.831055541	3.07e-30	P2RY13	5.83
ENSG00000181804	SLC9A9	3.062827452	2.31e-32	SLC9A9	3.06
ENSG00000181885	CLDN7	4.845959527	2.67e-20	CLDN7	4.85
ENSG00000181908	AP003774.4	3.437732355	4.5e-18	AP003774.4	3.44
ENSG00000181963	OR52K2	4.145363054	2.75e-21	OR52K2	4.15
ENSG00000182022	CHST15	1.447905177	1.59e-14	CHST15	1.45
ENSG00000182048	TRPC2	4.236232332	5.26e-18	TRPC2	4.24
ENSG00000182087	TMEM259	1.63544827	3.51e-29	TMEM259	1.64
ENSG00000182095	TNRC18	2.565911641	1.3e-36	TNRC18	2.57
ENSG00000182156	ENPP7	3.849426382	3.06e-13	ENPP7	3.85
ENSG00000182162	P2RY8	4.653941127	5.66e-14	P2RY8	4.65
ENSG00000182179	UBA7	5.30308816	1.37e-31	UBA7	5.3
ENSG00000182183	FAM159A	5.794518526	1.63e-21	FAM159A	5.79
ENSG00000182220	ATP6AP2	-1.248868574	7.26e-16	ATP6AP2	-1.25
ENSG00000182487	NCF1B	5.666418748	1.46e-33	NCF1B	5.67
ENSG00000182511	FES	3.467308284	8.84e-24	FES	3.47
ENSG00000182557	SPNS3	5.253008081	5.72e-27	SPNS3	5.25
ENSG00000182578	CSF1R	6.143640666	1.52e-39	CSF1R	6.14
ENSG00000182584	ACTL10	3.559735722	6.97e-15	ACTL10	3.56
ENSG00000182774	RPS17	0.531528705	2.96e-05	RPS17	0.53
ENSG00000182782	HCAR2	4.381258904	1.33e-15	HCAR2	4.38
ENSG00000182885	ADGRG3	3.356878389	4.33e-10	ADGRG3	3.36
ENSG00000182899	RPL35A	-0.173277471	0.121457091	RPL35A	-0.17
ENSG00000182944	EWSR1	0.899789475	2.17e-17	EWSR1	0.9
ENSG00000182957	SPATA13	3.497681532	4.09e-30	SPATA13	3.5
ENSG00000183018	SPNS2	1.365828022	3.41e-17	SPNS2	1.37
ENSG00000183019	MCEMP1	3.379055633	1.9e-15	MCEMP1	3.38
ENSG00000183087	GAS6	2.321382892	3.92e-24	GAS6	2.32
ENSG00000183160	TMEM119	5.399483051	4.08e-30	TMEM119	5.4
ENSG00000183255	PTTG1IP	1.559597902	2.05e-18	PTTG1IP	1.56
ENSG00000183484	GPR132	5.839648623	3.73e-30	GPR132	5.84
ENSG00000183486	MX2	4.700846833	3.56e-24	MX2	4.7
ENSG00000183549	ACSM5	4.242159086	1.65e-25	ACSM5	4.24
ENSG00000183598	HIST2H3D	3.362234209	3.12e-13	HIST2H3D	3.36
ENSG00000183604	SMG1P5	1.392197074	2.39e-12	SMG1P5	1.39
ENSG00000183734	ASCL2	4.440469862	1.74e-21	ASCL2	4.44
ENSG00000183765	CHEK2	3.605198173	8.27e-25	CHEK2	3.61
ENSG00000183784	C9orf66	5.038756217	5.97e-30	C9orf66	5.04
ENSG00000183844	FAM3B	4.12587686	3e-11	FAM3B	4.13
ENSG00000184009	ACTG1	-0.675863303	1.66e-08	ACTG1	-0.68
ENSG00000184060	ADAP2	5.321101208	1.91e-38	ADAP2	5.32
ENSG00000184216	IRAK1	1.926075523	1.52e-31	IRAK1	1.93
ENSG00000184260	HIST2H2AC	1.169046912	7.03e-10	HIST2H2AC	1.17
ENSG00000184270	HIST2H2AB	0.761743907	3.31e-05	HIST2H2AB	0.76
ENSG00000184293	CLECL1	5.434500366	1.68e-17	CLECL1	5.43
ENSG00000184357	HIST1H1B	4.410863952	5.07e-15	HIST1H1B	4.41
ENSG00000184454	NCMAP	4.290874697	3.83e-19	NCMAP	4.29
ENSG00000184497	TMEM255B	4.526853319	1.93e-33	TMEM255B	4.53
ENSG00000184574	LPAR5	6.347632611	1.5e-35	LPAR5	6.35
ENSG00000184584	TMEM173	4.548402881	1.35e-25	TMEM173	4.55
ENSG00000184678	HIST2H2BE	2.508447289	4.1e-18	HIST2H2BE	2.51
ENSG00000184730	APOBR	5.998429624	3.94e-26	APOBR	6
ENSG00000184840	TMED9	1.614281979	8.71e-25	TMED9	1.61
ENSG00000184922	FMNL1	3.521818214	2.25e-35	FMNL1	3.52
ENSG00000184988	TMEM106A	5.769007255	3.42e-33	TMEM106A	5.77
ENSG00000185156	MFSD6L	4.863122053	2.16e-24	MFSD6L	4.86
ENSG00000185215	TNFAIP2	3.415733581	4.52e-27	TNFAIP2	3.42
ENSG00000185291	IL3RA	3.926406078	3.27e-15	IL3RA	3.93
ENSG00000185338	SOCS1	4.216063351	1.18e-17	SOCS1	4.22
ENSG00000185404	SP140L	4.770148481	1.12e-37	SP140L	4.77
ENSG00000185432	METTL7A	1.136609781	9.42e-12	METTL7A	1.14
ENSG00000185482	STAC3	3.455959813	1.57e-22	STAC3	3.46
ENSG00000185507	IRF7	4.202277068	5.38e-20	IRF7	4.2
ENSG00000185522	LMNTD2	5.325374487	1.75e-24	LMNTD2	5.33
ENSG00000185614	FAM212A	3.464059821	2.03e-23	FAM212A	3.46
ENSG00000185624	P4HB	1.007477623	9.33e-14	P4HB	1.01
ENSG00000185650	ZFP36L1	4.251246876	1.15e-32	ZFP36L1	4.25
ENSG00000185664	PMEL	3.695858741	2.82e-17	PMEL	3.7
ENSG00000185669	SNAI3	4.190377162	5.51e-18	SNAI3	4.19
ENSG00000185811	IKZF1	5.918652863	1.52e-37	IKZF1	5.92
ENSG00000185825	BCAP31	0.190237429	0.037463702	BCAP31	0.19
ENSG00000185862	EVI2B	4.964970638	1.43e-29	EVI2B	4.96
ENSG00000185896	LAMP1	1.133597208	2.07e-16	LAMP1	1.13
ENSG00000185905	C16orf54	6.009473236	1.93e-29	C16orf54	6.01
ENSG00000185963	BICD2	1.434933252	3.2e-23	BICD2	1.43
ENSG00000185989	RASA3	2.344387487	7.35e-31	RASA3	2.34
ENSG00000186074	CD300LF	6.461010828	1.58e-27	CD300LF	6.46
ENSG00000186407	CD300E	4.14310362	8.74e-13	CD300E	4.14
ENSG00000186417	GLDN	1.821225168	1.5e-06	GLDN	1.82
ENSG00000186431	FCAR	5.990794731	2.34e-21	FCAR	5.99
ENSG00000186468	RPS23	-0.061374532	0.577910703	RPS23	-0.06
ENSG00000186517	ARHGAP30	5.56129103	3.12e-40	ARHGAP30	5.56
ENSG00000186583	SPATC1	4.170400718	1.45e-19	SPATC1	4.17
ENSG00000186635	ARAP1	3.590224659	1.63e-40	ARAP1	3.59
ENSG00000186714	CCDC73	4.256509388	2.36e-17	CCDC73	4.26
ENSG00000186818	LILRB4	6.015202503	3.84e-31	LILRB4	6.02
ENSG00000187037	GPR141	3.359071477	3.3e-08	GPR141	3.36
ENSG00000187116	LILRA5	3.422211743	1.46e-08	LILRA5	3.42
ENSG00000187164	SHTN1	0.916431978	5.29e-09	SHTN1	0.92
ENSG00000187166	H1FNT	3.32709441	2.87e-15	H1FNT	3.33
ENSG00000187474	FPR3	4.400421262	1.89e-09	FPR3	4.4
ENSG00000187514	PTMA	0.210959876	0.054895766	PTMA	0.21
ENSG00000187553	CYP26C1	3.981046685	7.73e-08	CYP26C1	3.98
ENSG00000187554	TLR5	5.352112974	1.57e-31	TLR5	5.35
ENSG00000187764	SEMA4D	1.641108411	1.31e-15	SEMA4D	1.64
ENSG00000187796	CARD9	5.226952775	3.04e-36	CARD9	5.23
ENSG00000187808	SOWAHD	5.226636049	2.82e-23	SOWAHD	5.23
ENSG00000187837	HIST1H1C	0.553718589	0.005114007	HIST1H1C	0.55
ENSG00000187855	ASCL4	3.879183037	1.03e-20	ASCL4	3.88
ENSG00000187912	CLEC17A	5.19318826	1.79e-14	CLEC17A	5.19
ENSG00000188060	RAB42	3.715042835	4.2e-12	RAB42	3.72
ENSG00000188229	TUBB4B	-1.45996061	1.56e-14	TUBB4B	-1.46
ENSG00000188305	C19orf35	4.110294771	5.17e-18	C19orf35	4.11
ENSG00000188313	PLSCR1	3.203799968	2.44e-25	PLSCR1	3.2
ENSG00000188404	SELL	4.076277156	4.99e-13	SELL	4.08
ENSG00000188511	C22orf34	3.488642465	3.93e-10	C22orf34	3.49
ENSG00000188610	FAM72B	3.864091105	2.12e-29	FAM72B	3.86
ENSG00000188820	FAM26F	3.924492487	6.43e-15	FAM26F	3.92
ENSG00000188921	HACD4	3.707392051	2.5e-27	HACD4	3.71
ENSG00000189060	H1F0	0.301342573	0.017245397	H1F0	0.3
ENSG00000189152	GRAPL	4.501964124	9.01e-29	GRAPL	4.5
ENSG00000189266	PNRC2	0.344327907	0.000201342	PNRC2	0.34
ENSG00000196126	HLA-DRB1	4.938649713	5.9e-17	HLA-DRB1	4.94
ENSG00000196209	SIRPB2	6.172749145	3.86e-28	SIRPB2	6.17
ENSG00000196218	RYR1	4.376574736	9.3e-40	RYR1	4.38
